street,location
"20331 Gentle Way Montgomery Village, MD 20886","(39.189987, -77.1929679)"
"8252 Woodland Shore Drive Brighton, MI 48114","(42.5606272, -83.78748139999999)"
"2443 Folsom Street Snellville, GA 30078","(33.8487495, -84.0100291)"
"1702 Lancaster Creek Cir Sw Conyers, GA 30094","(33.6537314, -84.0444344)"
"126 Sylvan Drive Broomall, PA 19008","(39.9775346, -75.37239269999999)"
"1006 Grey Fox Cir Brownsville, TX 78520","(25.9490588, -97.5304359)"
"811 Downing Way Denver, CO 80229","(39.84155459999999, -104.976512)"
"1062 Calm Breeze New Braunfels, TX 78130","(29.6956087, -98.0779146)"
"433 Jefferson Dr Palmyra, VA 22963","(37.923978, -78.3404429)"
"5306 Fairtide Drive Baytown, TX 77521","(29.808156, -94.97963829999999)"
"4320 Gannet Cir Apt 113 Las Vegas, NV 89103","(36.1235618, -115.1975684)"
"7131 N Riverside Dr Niles, IL 60714","(42.0107459, -87.7955265)"
"34 Prospect Rd Sugarloaf, PA 18249","(40.9696648, -76.0962268)"
"1007 W Deer Creek Dr Brazil, IN 47834","(39.5244104, -87.1414908)"
"19811 Arbor Creek Dr Katy, TX 77449","(29.8734348, -95.7120906)"
"14903 Bridal Trail Circle Eastvale, CA 92880","(33.9538333, -117.6091256)"
"1713 Canard Ave Placentia, CA 92870","(33.8933811, -117.8690773)"
"18361 W Woodland Ter Gurnee, IL 60031","(42.38722509999999, -87.98993519999999)"
"7809 Commercial St Harvard, IL 60033","(42.4413822, -88.6435626)"
"52 Riverdale Ave Port Chester, NY 10573","(41.014382, -73.657186)"
"23734 Morning Glory Dr Murrieta, CA 92562","(33.5833531, -117.2217767)"
"956 Drayson Dr Galloway, OH 43119","(39.9306416, -83.1665122)"
"2825 Ellis Ave Fort Worth, TX 76106","(32.7971205, -97.3511178)"
"930 Autumn Lane Aurora, IL 60505","(41.78390659999999, -88.293419)"
"23 Stanley Rd. Garnerville, NY 10923","(41.2018755, -73.9905555)"
"15884 Grevillea St Fontana, CA 92335","(34.0791947, -117.4585065)"
"96 S Washington St Oxford, MI 48371","(42.8213348, -83.26153529999999)"
"4451 N Kilbourn Ave Chicago, IL 60630","(41.9622876, -87.7409011)"
"203 Grantham Dr San Antonio, TX 78218","(29.48634689999999, -98.41880789999999)"
"515 W Duarte Rd Arcadia, CA 91007","(34.127388, -118.050486)"
"6101 Gateway West Blvd Apt 207 El Paso, TX 79925","(31.78374759999999, -106.4120074)"
"2506 Stonebury Ln Sugar Land, TX 77479","(29.56721539999999, -95.6771662)"
"1054 Hodges Way Stone Mountain, GA 30087","(33.8419172, -84.1438228)"
"585 Eder Ave Wyckoff, NJ 7481","(40.996343, -74.1895685)"
"117 Mcconnell Dr New Albany, IN 47150","(38.3463572, -85.8137052)"
"4501 Weathersfield Ct. League City, TX 77573","(29.48834519999999, -95.14208699999999)"
"10424 Siltstone Way Elk Grove, CA 95757","(38.37894989999999, -121.44997)"
"85-18 125Th Street Kew Gardens, NY 11415","(40.7036919, -73.82658599999999)"
"1435 N Pearl St Denver, CO 80203","(39.7392073, -104.9802774)"
"62 Stephen Place Valley Stream, NY 11580","(40.6765804, -73.7119503)"
"405 S Conejo Ave Modesto, CA 95354","(37.6336846, -120.9674878)"
"3960 Sweepstakes Dr Riverbank, CA 95367","(37.7275691, -120.9228852)"
"1158 Teal Point Dr. Henderson, NV 89074","(36.0467927, -115.0457882)"
"950 39Th Ave N Saint Petersburg, FL 33703","(27.8074112, -82.64806990000001)"
"60 Windy Acres Rd Charlestown, NH 3603","(43.3128532, -72.3778944)"
"3725 Sandy Ridge Farm Rd La Grange, NC 28551","(35.3157114, -77.7022373)"
"401 Bridger View Belgrade, MT 59715","(45.7796186, -111.1702906)"
"11901 Nw 42Nd St Sunrise, FL 33323","(26.1774738, -80.30640319999999)"
"1800 Pecan Lake Dr Richmond, TX 77406","(29.6224306, -95.7862418)"
"374 India Drive Smyrna, DE 19977","(39.2477404, -75.60105349999999)"
"543 Picketts Bend Cir Marietta, GA 30008","(33.924846, -84.5620749)"
"1809 Colonial Ave Greensboro, NC 27408","(36.1058555, -79.8130181)"
"642 Vardon Ave Deltona, FL 32738","(28.8806737, -81.16266929999999)"
"10848 Orchard Ave Se Olalla, WA 98359","(47.4492054, -122.5571697)"
"127 Plumdale Dr Sherwood, AR 72120","(34.83904, -92.20286)"
"2206 Chaney Dr. #240 Ruskin, FL 33570","(27.6884466, -82.4573272)"
"253 Oelkers St N Tonawanda, NY 14120","(43.0424016, -78.87521919999999)"
"1026 Polk St Vicksburg, MS 39180","(32.325421, -90.886314)"
"125 Shady Glen Ln Albany, GA 31721","(31.581794, -84.2321812)"
"1450 Market Street San Diego, CA 92101","(32.7121049, -117.1508341)"
"11731 Ventura Blvd Machesney Park, IL 61115","(42.3848397, -89.04247800000002)"
"23315 S Breeze St San Antonio, TX 78258","(29.6588793, -98.4563199)"
"19 Doctors Lane St. Helena Island, SC 29920","(32.378137, -80.59828399999999)"
"1562 E Olive Way, Apt 108 Seattle, WA 98102","(47.6189485, -122.3257109)"
"8059 88Th Rd Woodhaven, NY 11421","(40.689847, -73.859352)"
"168 Belle Isle Drive Thibodaux, LA 70301","(29.7973859, -90.85273049999999)"
"1147 Pine Portage Loop Leander, TX 78641","(30.5547761, -97.8267035)"
"1803 Plata Ct Rockledge, FL 32955","(28.3296161, -80.7532044)"
"1425 N Rosemore Ave Modesto, CA 95358","(37.6554726, -121.0405425)"
"12277 Kirkwood St Herald, CA 95638","(38.3111316, -121.1391554)"
"1111 S Oakwood Rd Enid, OK 73703","(36.385088, -97.92528259999999)"
"3204 Sylvan Drive Thorndale, PA 19372","(40.0039743, -75.7623816)"
"221 West Burnett Road Island Lake, IL 60042","(42.2847942, -88.2018879)"
"167 East Broadway, Apt 12 New York City, NY 10002","(40.7138628, -73.98987919999999)"
"1099 Nowita Pl Venice, CA 90291","(33.9993802, -118.4566384)"
"3 Twilight Ln Pueblo, CO 81005","(38.2646585, -104.6773215)"
"9696 Philta Way Elk Grove, CA 95757","(38.40537339999999, -121.4057269)"
"219 Live Oak Drive Hudson Oaks, TX 76087","(32.750313, -97.689504)"
"5900 Chimney Wood Cir Fort Worth, TX 76112","(32.757865, -97.230852)"
"850 Crawford Pkwy Apt 4214 Portsmouth, VA 23704","(36.842118, -76.307433)"
"12201 Boessow Rd Galt, CA 95632","(38.2559823, -121.2231058)"
"1707 Towle St Falls City, NE 68355","(40.0617911, -95.60639839999999)"
"401 N Cromwell Rd Savannah, GA 31410","(32.00484, -80.985688)"
"3728 Mays Xing Sw Atlanta, GA 30331","(33.733627, -84.51223399999999)"
"600 Sw 71St Way Pembroke Pines, FL 33023","(26.0046394, -80.2309312)"
"4234 Arizona Ave Grand Island, NE 68803","(40.9540935, -98.4098772)"
"740 Persimmon Hl Bulverde, TX 78163","(29.76742, -98.469251)"
"100 Sterling Blvd Englewood, NJ 7631","(40.881077, -73.98928)"
"1129 Sandpit Road Mauk, GA 31058","(32.5471659, -84.4504073)"
"3801 Ne 81St Ave. Portland, OR 97213","(45.55028189999999, -122.5800334)"
"4124 Sw Tunnelwood St Portland, OR 97221","(45.4951902, -122.7195656)"
"5006 Cedar Springs Rd Dallas, TX 75235","(32.8212403, -96.8226856)"
"20624 Eyota Rd Apple Valley, CA 92308","(34.4940534, -117.2136404)"
"2999 Smith Springs Rd Nashville, TN 37217","(36.0869979, -86.606822)"
"228 E Buena Vista St Highland Park, MI 48203","(42.403703, -83.0860673)"
"2621 Cranley St Lawrence, KS 66046","(38.9361095, -95.21213050000001)"
"2254 Cedar Ave Apt E Bronx, NY 10468","(40.8614137, -73.9116425)"
"9006 Aylesford Ln Stockton, CA 95210","(38.031648, -121.2821501)"
"2709 E Shorewood Blvd Milwaukee, WI 53211","(43.0867314, -87.8751047)"
"1065 Coriander Dr Brentwood, CA 94513","(37.9521527, -121.7127993)"
"4764 W Tufts Cir Denver, CO 80236","(39.6339836, -105.0491889)"
"6203 Summerhill Road Temple Hills, MD 20748","(38.804434, -76.9246469)"
"2038 Marvin Rd Se Olympia, WA 98503","(47.02885999999999, -122.764425)"
"415 Tyler Pl Salinas, CA 93906","(36.697862, -121.658234)"
"1413 South Hennepin Street Sioux City, IA 51106","(42.4760569, -96.34950909999999)"
"368 Via Aloe Vera Rio Rico, AZ 85648","(31.4473183, -110.9225968)"
"13650 East Colfax Avenue Aurora, CO 80011","(39.7394266, -104.8295927)"
"107 Tunxis Ave Bloomfield, CT 6002","(41.8399376, -72.74252659999999)"
"5510 Robinwood Rd Louisville, KY 40218","(38.169048, -85.6675612)"
"954 Waverly Dr Longwood, FL 32750","(28.7105762, -81.3660857)"
"81 Center St Chula Vista, CA 91910","(32.64271430000001, -117.070513)"
"8528 Brisenbourg Way Antelope, CA 95843","(38.7240033, -121.3811888)"
"12854 Fantasia Dr Herndon, VA 20170","(38.9863175, -77.39643)"
"810 S Pleasant St Peoria, IL 61604","(40.6798399, -89.646768)"
"3100 Owyhee Street Pocatello, ID 83201","(42.91976040000001, -112.4073523)"
"1104 W College St Independence, MO 64050","(39.0984433, -94.4292823)"
"3916 Twin Falls St Irving, TX 75062","(32.8542843, -97.0022528)"
"4477 Nw 185Th St Miami Gardens, FL 33055","(25.9423976, -80.2746643)"
"12 Cypress Ave Methuen, MA 1844","(42.7036414, -71.1907793)"
"2111 Alcazar Way Stockton, CA 95209","(38.0248505, -121.3396211)"
"3400 Paul Ave Bronx, NY 10468","(40.8775207, -73.88908769999999)"
"1132 S 60Th St Tacoma, WA 98408","(47.2026105, -122.4506542)"
"1043 Normandy Ter Corona, CA 92880","(33.8994937, -117.5726283)"
"1345 South Capitol Street Southwest Washington, DC 20003","(38.8734232, -77.0093142)"
"8760 Center Pkwy Elk Grove, CA 95758","(38.4372199, -121.4195252)"
"5810 30Th Ave Hyattsville, MD 20782","(38.9616355, -76.9666239)"
"2418 N 1050 W Clinton, UT 84015","(41.14890159999999, -112.0460302)"
"9418 Spotsylvania Street Manassas, VA 20110","(38.7802009, -77.48227419999999)"
"433 E 54Th St Anderson, IN 46013","(40.0602609, -85.673277)"
"5972 E Juarez St Tucson, AZ 85711","(32.2050738, -110.8646286)"
"143 Farmedge Rd Levittown, NY 11756","(40.7352259, -73.50637900000001)"
"356 Montgomery Rd Lancing, TN 37770","(36.114959, -84.63444899999999)"
"1333 W Guadalupe Rd. Gilbert, AZ 85233","(33.3639573, -111.8185134)"
"437 Hampton Green Dr Lagrange, GA 30240","(33.13395, -85.053518)"
"11211 Crossland Drive Austin, TX 78726","(30.4414621, -97.82436659999999)"
"3530 N Southport Ave Chicago, IL 60657","(41.9461444, -87.6642404)"
"110 Kingsdown Ave Charlotte, NC 28270","(35.143161, -80.77212899999999)"
"3850 W 64Th Place Chicago, IL 60629","(41.7761628, -87.7198207)"
"303 Emma Dr Brookland, AR 72417","(35.9213184, -90.57119550000002)"
"342 Helena Way Madera, CA 93637","(36.939233, -120.059403)"
"40 Roy St Swampscott, MA 1907","(42.479043, -70.9271174)"
"33300 Mission Blvd Union City, CA 94587","(37.6085231, -122.0190801)"
"1838 22Nd St Santa Monica, CA 90404","(34.0234762, -118.4709078)"
"5111 W School St Chicago, IL 60641","(41.9403732, -87.75481289999999)"
"108 E Clarke Pl Apt 47A Bronx, NY 10452","(40.8374611, -73.917238)"
"6105 39Th Pl Hyattsville, MD 20782","(38.962516, -76.9503304)"
"1020 Comstock Dr Charlotte, NC 28217","(35.2026432, -80.8894771)"
"5012 Byers Ave Fort Worth, TX 76107","(32.7389398, -97.39573159999999)"
"2520 Greywall Ave Ocoee, FL 34761","(28.5744438, -81.5030405)"
"1519 E Calle Salamanca Tucson, AZ 85714","(32.1690686, -110.9487309)"
"2583 Edmond Cir Auburndale, FL 33823","(28.036214, -81.8248414)"
"269 Old Stagecoach Rd Meriden, CT 6450","(41.5075277, -72.804626)"
"10818 Huffmeister Road Houston, TX 77065","(29.93464599999999, -95.624691)"
"524 Commerce St Jackson, AL 36545","(31.5062653, -87.89753859999999)"
"1646 1St Ave New York, NY 10028","(40.7764356, -73.9493456)"
"19962 Sw 96Th Pl Dunnellon, FL 34432","(29.0838039, -82.4511358)"
"3836 Carisbrook Ave North Las Vegas, NV 89081","(36.2718713, -115.0907654)"
"281 County Highway 32A Cherry Valley, NY 13320","(42.8532284, -74.73125670000002)"
"15 Hall Ave Warren, RI 2885","(41.73257599999999, -71.279541)"
"1002 Calle Frondosa San Dimas, CA 91773","(34.0881955, -117.8267238)"
"4205 Cunningham Dr Okc, OK 73170","(35.4089033, -97.4433962)"
"4223 East 10Th Street Long Beach, CA 90804","(33.7792114, -118.1431031)"
"7507Abingdon Abingdon Way Court St. Louis, MO 63129","(38.4199078, -90.3276727)"
"1724 Hunters Trl Rock Hill, SC 29732","(34.9756534, -80.9954154)"
"201 Andrew Road Coatesville, PA 19320","(39.986041, -75.78596)"
"1820 Rudolph Ln Lusby, MD 20657","(38.38024, -76.413697)"
"455 Sunnehanna Drive #544 Myrtle Beach, SC 29588","(33.646464, -79.054931)"
"31 Nambe West Santa Fe, NM 87508","(35.505741, -106.046223)"
"2426 Tullibee Drive Norfolk, VA 23518","(36.9137118, -76.2159429)"
"9404 Royalton Dr Shreveport, LA 71118","(32.3906307, -93.8255363)"
"347 W Chestnut St Chicago, IL 60610","(41.8979847, -87.6375246)"
"410 E Locust St Fleetwood, PA 19522","(40.456898, -75.809956)"
"4910 Kraus Road Clarence, NY 14031","(42.9797459, -78.6200396)"
"513 Old Lincoln Rd Fayetteville, TN 37334","(35.055802, -86.51739099999999)"
"2607 Garner Rd Sw Albuquerque, NM 87105","(34.9874563, -106.7133976)"
"633 Water Street Friendsville, MD 21531","(39.662755, -79.408284)"
"349 N Main St Milltown, NJ 8850","(40.4604351, -74.445945)"
"35 Wood St San Francisco, CA 94118","(37.7832263, -122.4494884)"
"3054 Villanelle Ave Henderson, NV 89044","(35.9404469, -115.1210475)"
"9603 East Avenue R 14 Littlerock, CA 93543","(34.5597692, -117.9579188)"
"2514 Shepherd Valley Street Raleigh, NC 27610","(35.7441061, -78.59524789999999)"
"851 E 215Th St Bronx, NY 10467","(40.8794024, -73.8594794)"
"1 Acre Dr Danbury, CT 6811","(41.4283787, -73.4479573)"
"4437 Central Lane Balch Springs, TX 75180","(32.7087581, -96.6102317)"
"13100 Norris Ave Sylmar, CA 91342","(34.3077416, -118.4597639)"
"5624 S Menard Ave Chicago, IL 60638","(41.790028, -87.76739669999999)"
"1633 Salerno Cir Weston, FL 33327","(26.1353938, -80.41806869999999)"
"3100 South Cherokee Street Englewood, CO 80110","(39.6603155, -104.9909352)"
"6633 Laxey Ct Zephyrhills, FL 33541","(28.254163, -82.24007999999999)"
"12202 Lotus Vine Street Bakersfield, CA 93311","(35.2994209, -119.1383146)"
"7328 Ambleside Dr Land O Lakes, FL 34637","(28.2641662, -82.4534211)"
"7 Taunton St Plainville, MA 2762","(42.009921, -71.3035938)"
"7626 Marsh Ave Rosemead, CA 91770","(34.0508418, -118.1020035)"
"2702 Sligo Ln Brighton, MI 48114","(42.5651941, -83.7261193)"
"107 North Chinook Street Moxee, WA 98936","(46.5539007, -120.377463)"
"609 Fairhaven Way Novato, CA 94947","(38.0807638, -122.5488432)"
"577 E Park Ave Gilbert, AZ 85234","(33.3523915, -111.7779083)"
"1559 N 1St Ave Upland, CA 91786","(34.1199592, -117.6501078)"
"5375 Shattuck Ave Fremont, CA 94555","(37.5612846, -122.054558)"
"47995 Candace Ln Canton, MI 48187","(42.3112147, -83.5139131)"
"14419 Brunswick Point Lane Houston, TX 77047","(29.602463, -95.3775766)"
"15731 Bernardo Heights Parkway San Diego, CA 92128","(33.0036698, -117.0585372)"
"903 Loganwood Avenue Richardson, TX 75080","(32.9764618, -96.7521802)"
"23 Mayfair Dr Bluffton, SC 29910","(32.2736666, -80.8988305)"
"210 Oakwood Street Se Apt. 302 Washington, DC 20032","(38.8481207, -77.0046614)"
"1354 Sweetbriar Lane Bel Air, MD 21014","(39.5489603, -76.3734916)"
"200 3Rd Street Shoemakersville, PA 19555","(40.4978846, -75.9668027)"
"692 Milford Point Road Milford, CT 6460","(41.1976188, -73.094089)"
"17 West 108St New York, NY 10025","(40.7999631, -73.9601556)"
"1003 N Sandalwood Ave Rialto, CA 92376","(34.1177528, -117.4024301)"
"709 Marsha Ln Rock Falls, IL 61071","(41.7747377, -89.6751419)"
"4204 Us Highway 80 E Mesquite, TX 75149","(32.7961395, -96.66009489999999)"
"1261 Southwick Ln Lincoln, CA 95648","(38.8793502, -121.3016938)"
"4607 N Monticello Ave Chicago, IL 60625","(41.9649891, -87.7189356)"
"40131 Holland Rd Ponchatoula, LA 70454","(30.4437338, -90.3891733)"
"111 Stroud St Canastota, NY 13032","(43.0741728, -75.7612915)"
"15262 Hoyle Rd Berlin Center, OH 44401","(41.0392269, -80.93924299999999)"
"357 Meadowsedge Dr Woodstock, IL 60098","(42.2856803, -88.4402011)"
"101 Aberdeen Circle Cordele, GA 31015","(31.9279382, -83.7397301)"
"3868 Boot Bay Rd Plant City, FL 33563","(28.0253813, -82.1634809)"
"7073 Bramblebush Dr Frisco, TX 75033","(33.172413, -96.8229996)"
"29 Meadow Lane Westford, MA 1886","(42.5984042, -71.489139)"
"2214 E 113Th Ave Tampa, FL 33612","(28.0510143, -82.4331447)"
"10762 Kingsfield Ln Saint Paul, MN 55129","(44.9036672, -92.889398)"
"473 W 21St St New York, NY 10011","(40.7464749, -74.004803)"
"24310 2Nd Place West Bothell, WA 98021","(47.77764519999999, -122.2366996)"
"850 E Old Willow Rd Prospect Heights, IL 60070","(42.1028981, -87.8931917)"
"23-88 28Th Street Queens, NY 11105","(40.773885, -73.91693099999999)"
"2504 Skagway Dr Northwood, OH 43619","(41.6081717, -83.4557895)"
"66 Grant St West Bridgewater, MA 2379","(42.0379592, -71.0161249)"
"687 Franklin Ave Council Bluffs, IA 51503","(41.2589727, -95.83355000000002)"
"5847 Morningside Ave Dallas, TX 75206","(32.829232, -96.7659745)"
"107 Chapel Street Mount Morris, NY 14510","(42.7223433, -77.8840476)"
"101 Saint George Blvd Savannah, GA 31419","(31.987397, -81.21130199999999)"
"4439 Third Ave Bronx, NY 10457","(40.85227099999999, -73.8929462)"
"20 Thackery Pl Apt. 4 Savannah, GA 31405","(32.0388343, -81.1091132)"
"9025 Ochoa St Las Vegas, NV 89143","(36.3198554, -115.2955655)"
"102 Parkway Lane Havelock, NC 28532","(34.9040933, -76.9171066)"
"2777 S. Arizona Ave #1005 Chandler, AZ 85286","(33.2650191, -111.8391027)"
"239 Friedrichs Rd Gretna, LA 70056","(29.9144372, -90.0381041)"
"2869 N Arrowhead Ave San Bernardino, CA 92405","(34.1440491, -117.2892649)"
"203 Sherwood Ave Pikesville, MD 21208","(39.3701721, -76.7261893)"
